Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10",0402,2,1uF,
"C11, C12, C17, C18, C2, C3, C4, C5, C6, C7, C8, C9",0402,12,0.1uF,
"C13, C14",0603,2,10uF,
"C15, C16",0402,2,33pF,
D2,LED_WS2812B-2020_PLCC4_2.0x2.0mm,1,WS2812B-2020,
J1,USB_C_Receptacle_JAE_DX07S016JA1R1500,1,USB_C_Receptacle_USB2.0_14P,
"J2, J3",PinHeader_1x20_P2.54mm_Vertical,2,Conn_01x20_Pin,
"R1, R2",0402,2,5.1K,
"R3, R4",0402,2,27.4,
"R5, R7, R8",0402,3,1K,
R6,0402,1,10K,
"SW1, SW2",SW_Push_SPST_NO_Alps_SKRK,2,SW_Push,
U1,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U2,LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,1,LIS3DH,
U3,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q128JVS,
U4,SOT-23,1,MCP1700x-330xxTT,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,
